date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:34	159868/159868	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202023%2014:13:56%20GMT	https://www.classcentral.com/report/udemy-by-the-numbers/	D:/Class%20Central%202/CC/www.classcentral.com/report/udemy-by-the-numbers/index.html	(from https://www.classcentral.com/)
22:28:35	7719/7719	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2016:49:58%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Freport%2Fwp-content%2Fuploads%2F2023%2F02%2FErlang-BCG-Banner.png?auto=format&ixlib=php-3.3.1&w=300&s=81452ebdfff2912ff6fdd8cc8776b74b	D:/Class%20Central%202/CC/ccweb.imgix.net/https_/www.classcentral.com/report/wp-content/uploads/2023/02/Erlang-BCG-Banner0758.png	(from https://www.classcentral.com/)
22:28:35	1134/1134	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2017:58:10%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Freport%2Fwp-content%2Fuploads%2F2023%2F02%2FCSS-Animation-BCG-Banner.png?auto=format&blur=200&ixlib=php-3.3.1&px=16&w=300&s=36ca591751084d473c1f4820d3eb6829	D:/Class%20Central%202/CC/ccweb.imgix.net/https_/www.classcentral.com/report/wp-content/uploads/2023/02/CSS-Animation-BCG-Banner59e4.png	(from https://www.classcentral.com/)
22:28:37	135431/135431	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202023%2014:13:57%20GMT	https://www.classcentral.com/report/domestika-layoffs/	D:/Class%20Central%202/CC/www.classcentral.com/report/domestika-layoffs/index.html	(from https://www.classcentral.com/)
22:28:37	9602/9602	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2016:49:58%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Freport%2Fwp-content%2Fuploads%2F2023%2F02%2FCSS-Animation-BCG-Banner.png?auto=format&ixlib=php-3.3.1&w=300&s=a7cd4924aafbeeba131441e9e13390cd	D:/Class%20Central%202/CC/ccweb.imgix.net/https_/www.classcentral.com/report/wp-content/uploads/2023/02/CSS-Animation-BCG-Banner3620.png	(from https://www.classcentral.com/)
22:28:38	137368/137368	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202023%2014:12:20%20GMT	https://www.classcentral.com/report/thinkific-layoffs/	D:/Class%20Central%202/CC/www.classcentral.com/report/thinkific-layoffs/index.html	(from https://www.classcentral.com/)
22:28:38	2083/2083	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Nov%202022%2010:39:39%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollections-udemy-top-courses.png?auto=format&blur=200&ixlib=php-3.3.1&px=16&w=450&s=5822fefc87e87cb1ea48d34e29a6a7ec	D:/Class%20Central%202/CC/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collections-udemy-top-coursesa8d4.png	(from https://www.classcentral.com/)
22:28:39	134733/134733	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202023%2014:14:00%20GMT	https://www.classcentral.com/report/udemy-new-ceo/	D:/Class%20Central%202/CC/www.classcentral.com/report/udemy-new-ceo/index.html	(from https://www.classcentral.com/)
22:28:39	36931/36931	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2002:36:10%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollections-udemy-top-courses.png?auto=format&ixlib=php-3.3.1&w=450&s=243e8b030c78e5cd68b2e3ddd8e1bc7f	D:/Class%20Central%202/CC/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collections-udemy-top-coursesb42d.png	(from https://www.classcentral.com/)
22:28:40	249666/249666	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202023%2014:04:44%20GMT	https://www.classcentral.com/report/cs50-free-certificate/	D:/Class%20Central%202/CC/www.classcentral.com/report/cs50-free-certificate/index.html	(from https://www.classcentral.com/)
22:28:40	170262/170262	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202023%2020:04:48%20GMT	https://www.classcentral.com/report/best-free-prolog-courses/	D:/Class%20Central%202/CC/www.classcentral.com/report/best-free-prolog-courses/index.html	(from https://www.classcentral.com/)
22:28:41	2715/2715	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2009:19:40%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-india-ugc-approved-online-degrees.png?auto=format&blur=200&ixlib=php-3.3.1&px=16&w=450&s=0aae02bb5b4f467db8166ec4f4776040	D:/Class%20Central%202/CC/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-india-ugc-approved-online-degrees7238.png	(from https://www.classcentral.com/)
22:28:43	102733/102733	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2012:53:18%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-india-ugc-approved-online-degrees.png?auto=format&ixlib=php-3.3.1&w=450&s=0165b8c5462a88d74b09d1ec21533264	D:/Class%20Central%202/CC/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-india-ugc-approved-online-degrees058b.png	(from https://www.classcentral.com/)
